hotel_id,date,available_rooms,occupied_rooms
H041,2025-10-30,86,69
H042,2025-10-13,83,61
H043,2025-08-12,68,57
H044,2025-11-13,64,52
H045,2025-07-08,106,76
H046,2025-07-19,75,57
H047,2025-11-21,60,48
H048,2025-08-24,93,72
H049,2025-07-30,58,43
H050,2025-10-30,114,85
H001,2025-08-17,74,59
H002,2025-09-17,71,50
H003,2025-07-13,95,74
H004,2025-11-06,51,35
H005,2025-07-17,71,59
H006,2025-10-15,117,91
H007,2025-12-16,52,44
H008,2025-08-02,93,66
H009,2025-12-28,53,44
H010,2025-07-13,78,61
H011,2025-10-04,59,40
H012,2025-10-26,58,49
H013,2025-11-06,69,57
H014,2025-08-23,41,26
H015,2025-11-02,75,61
H016,2025-07-28,57,42
H017,2025-09-19,106,82
H018,2025-09-07,42,35
H019,2025-09-12,110,83
H020,2025-08-28,88,70
H021,2025-11-14,94,73
H022,2025-09-03,48,40
H023,2025-09-30,105,84
H024,2025-08-24,74,52
H025,2025-09-12,112,89
H026,2025-11-17,108,84
H027,2025-11-06,112,82
H028,2025-10-27,72,52
H029,2025-09-23,70,55
H030,2025-12-19,68,48
H031,2025-11-24,104,75
H032,2025-11-15,115,82
H033,2025-12-01,95,73
H034,2025-11-21,100,71
H035,2025-07-18,84,59
H036,2025-07-15,43,36
H037,2025-10-02,67,46
H038,2025-11-15,99,80
H039,2025-12-04,105,79
H040,2025-12-10,40,32
H041,2025-11-27,86,69
H042,2025-10-25,83,59
H043,2025-10-05,68,50
H044,2025-09-03,64,50
H045,2025-07-18,106,79
H046,2025-07-29,75,52
H047,2025-08-21,60,50
H048,2025-11-12,93,66
H049,2025-08-14,58,49
H050,2025-10-11,114,90
H001,2025-08-06,74,61
H002,2025-12-10,71,58
H003,2025-12-08,95,71
H004,2025-10-10,51,42
H005,2025-07-11,71,51
H006,2025-10-10,117,93
H007,2025-10-28,52,42
H008,2025-12-26,93,67
H009,2025-08-15,53,38
H010,2025-12-27,78,62
H011,2025-07-21,59,44
H012,2025-10-14,58,39
H013,2025-11-12,69,51
H014,2025-08-21,41,31
H015,2025-09-19,75,55
H016,2025-09-05,57,39
H017,2025-11-10,106,77
H018,2025-10-17,42,32
H019,2025-10-27,110,87
H020,2025-09-15,88,71
H021,2025-07-14,94,66
H022,2025-07-21,48,39
H023,2025-10-16,105,76
H024,2025-07-19,74,51
H025,2025-07-08,112,87
H026,2025-11-17,108,86
H027,2025-10-07,112,84
H028,2025-12-05,72,51
H029,2025-08-05,70,50
H030,2025-08-28,68,53
H031,2025-09-10,104,74
H032,2025-11-03,115,86
H033,2025-08-02,95,77
H034,2025-10-14,100,72
H035,2025-07-03,84,62
H036,2025-11-17,43,34
H037,2025-12-01,67,46
H038,2025-10-30,99,78
H039,2025-11-03,105,80
H040,2025-12-10,40,34
H041,2025-09-10,86,70
H042,2025-11-26,83,62
H043,2025-07-25,68,49
H044,2025-12-17,64,44
H045,2025-12-06,106,83
H046,2025-10-31,75,52
H047,2025-09-26,60,51
H048,2025-07-08,93,70
H049,2025-08-10,58,47
H050,2025-11-10,114,90
H001,2025-08-02,74,53
H002,2025-07-02,71,58
H003,2025-09-05,95,75
H004,2025-11-24,51,34
H005,2025-07-12,71,57
H006,2025-07-16,117,85
H007,2025-11-09,52,42
H008,2025-09-22,93,75
H009,2025-10-12,53,45
H010,2025-09-23,78,59
H011,2025-09-16,59,48
H012,2025-08-05,58,39
H013,2025-09-13,69,53
H014,2025-12-12,41,29
H015,2025-08-12,75,54
H016,2025-07-22,57,44
H017,2025-11-28,106,82
H018,2025-11-25,42,32
H019,2025-09-12,110,79
H020,2025-09-05,88,62
H021,2025-10-27,94,72
H022,2025-07-03,48,38
H023,2025-07-14,105,75
H024,2025-07-22,74,57
H025,2025-12-23,112,84
H026,2025-10-30,108,81
H027,2025-09-24,112,85
H028,2025-07-14,72,57
H029,2025-09-26,70,51
H030,2025-07-01,68,47
H031,2025-10-01,104,83
H032,2025-08-16,115,86
H033,2025-11-15,95,75
H034,2025-09-02,100,79
H035,2025-12-25,84,60
H036,2025-08-27,43,31
H037,2025-09-22,67,49
H038,2025-12-10,99,77
H039,2025-10-25,105,83
H040,2025-11-04,40,25
H041,2025-09-01,86,66
H042,2025-09-06,83,65
H043,2025-09-26,68,56
H044,2025-12-22,64,47
H045,2025-10-18,106,82
H046,2025-09-06,75,59
H047,2025-11-28,60,42
H048,2025-10-03,93,71
H049,2025-09-29,58,42
H050,2025-10-02,114,85
H001,2025-12-06,74,60
H002,2025-08-22,71,58
H003,2025-09-20,95,75
H004,2025-09-08,51,35
H005,2025-10-30,71,55
H006,2025-08-04,117,90
H007,2025-12-16,52,38
H008,2025-11-17,93,68
H009,2025-10-04,53,37
H010,2025-12-05,78,58
H011,2025-12-24,59,46
H012,2025-11-21,58,47
H013,2025-10-16,69,49
H014,2025-10-08,41,36
H015,2025-09-15,75,52
H016,2025-09-22,57,41
H017,2025-09-27,106,82
H018,2025-11-13,42,36
H019,2025-09-30,110,87
H020,2025-07-10,88,65
H021,2025-10-17,94,67
H022,2025-10-24,48,31
H023,2025-07-15,105,85
H024,2025-09-17,74,58
H025,2025-08-16,112,82
H026,2025-12-11,108,78
H027,2025-08-24,112,82
H028,2025-10-06,72,55
H029,2025-10-09,70,51
H030,2025-07-07,68,47
H031,2025-10-04,104,78
H032,2025-12-07,115,86
H033,2025-11-04,95,75
H034,2025-12-10,100,79
H035,2025-09-15,84,59
H036,2025-12-06,43,38
H037,2025-10-17,67,48
H038,2025-10-13,99,70
H039,2025-09-09,105,85
H040,2025-07-20,40,31
H041,2025-12-09,86,66
H042,2025-11-17,83,58
H043,2025-07-07,68,50
H044,2025-08-10,64,45
H045,2025-11-06,106,79
H046,2025-09-09,75,57
H047,2025-11-22,60,48
H048,2025-10-02,93,67
H049,2025-10-17,58,39
H050,2025-12-12,114,88
H001,2025-09-11,74,60
H002,2025-07-22,71,58
H003,2025-07-05,95,67
H004,2025-07-30,51,41
H005,2025-12-15,71,50
H006,2025-12-11,117,90
H007,2025-10-22,52,37
H008,2025-09-03,93,75
H009,2025-12-09,53,42
H010,2025-08-23,78,63
H011,2025-08-06,59,40
H012,2025-07-28,58,49
H013,2025-10-21,69,49
H014,2025-11-15,41,33
H015,2025-12-08,75,62
H016,2025-11-18,57,41
H017,2025-08-06,106,82
H018,2025-11-21,42,37
H019,2025-12-02,110,82
H020,2025-09-15,88,66
H021,2025-09-12,94,74
H022,2025-07-19,48,35
H023,2025-11-16,105,82
H024,2025-11-26,74,58
H025,2025-07-26,112,87
H026,2025-07-11,108,84
H027,2025-10-26,112,89
H028,2025-12-11,72,51
H029,2025-08-14,70,49
H030,2025-12-21,68,55
H031,2025-07-07,104,74
H032,2025-12-19,115,89
H033,2025-08-03,95,73
H034,2025-12-05,100,74
H035,2025-08-08,84,64
H036,2025-11-14,43,32
H037,2025-10-06,67,52
H038,2025-12-01,99,75
H039,2025-12-03,105,75
H040,2025-09-08,40,28
H041,2025-09-26,86,61
H042,2025-10-31,83,60
H043,2025-09-07,68,52
H044,2025-10-31,64,49
H045,2025-11-02,106,78
H046,2025-09-26,75,61
H047,2025-07-20,60,43
H048,2025-07-19,93,71
H049,2025-08-12,58,45
H050,2025-12-10,114,88
H001,2025-10-17,74,56
H002,2025-10-15,71,49
H003,2025-10-31,95,75
H004,2025-12-10,51,37
H005,2025-08-29,71,53
H006,2025-10-30,117,84
H007,2025-08-16,52,43
H008,2025-08-15,93,67
H009,2025-10-20,53,39
H010,2025-10-04,78,57
H011,2025-12-18,59,44
H012,2025-12-01,58,39
H013,2025-10-27,69,47
H014,2025-12-28,41,29
H015,2025-10-10,75,61
H016,2025-08-08,57,43
H017,2025-09-14,106,85
H018,2025-11-01,42,28
H019,2025-11-13,110,87
H020,2025-09-18,88,64
H021,2025-09-19,94,71
H022,2025-11-12,48,31
H023,2025-11-16,105,79
H024,2025-12-26,74,59
H025,2025-07-13,112,81
H026,2025-09-17,108,85
H027,2025-11-24,112,85
H028,2025-12-26,72,57
H029,2025-08-31,70,48
H030,2025-09-27,68,55
H031,2025-11-21,104,75
H032,2025-10-06,115,83
H033,2025-08-23,95,75
H034,2025-08-24,100,74
H035,2025-11-23,84,62
H036,2025-08-02,43,34
H037,2025-11-20,67,48
H038,2025-09-02,99,70
H039,2025-08-15,105,81
H040,2025-09-14,40,33
H041,2025-08-02,86,66
H042,2025-07-20,83,63
H043,2025-09-25,68,56
H044,2025-09-13,64,44
H045,2025-07-24,106,84
H046,2025-07-12,75,59
H047,2025-10-20,60,45
H048,2025-11-04,93,73
H049,2025-09-10,58,46
H050,2025-09-10,114,88
H001,2025-09-17,74,58
H002,2025-08-29,71,56
H003,2025-08-29,95,76
H004,2025-12-19,51,44
H005,2025-08-17,71,49
H006,2025-10-15,117,93
H007,2025-10-21,52,35
H008,2025-09-06,93,69
H009,2025-09-25,53,36
H010,2025-10-15,78,57
H011,2025-12-30,59,43
H012,2025-11-05,58,44
H013,2025-08-12,69,57
H014,2025-08-09,41,28
H015,2025-09-15,75,57
H016,2025-11-18,57,40
H017,2025-08-02,106,84
H018,2025-11-18,42,36
H019,2025-11-06,110,87
H020,2025-10-03,88,66
H021,2025-08-15,94,67
H022,2025-09-28,48,33
H023,2025-11-08,105,85
H024,2025-08-20,74,54
H025,2025-12-22,112,87
H026,2025-12-28,108,87
H027,2025-10-22,112,84
H028,2025-07-31,72,60
H029,2025-08-01,70,57
H030,2025-10-08,68,52
H031,2025-08-21,104,81
H032,2025-07-20,115,92
H033,2025-09-06,95,70
H034,2025-09-02,100,73
H035,2025-09-20,84,62
H036,2025-11-21,43,34
H037,2025-07-16,67,51
H038,2025-08-12,99,71
H039,2025-10-25,105,77
H040,2025-11-29,40,32
H041,2025-08-27,86,70
H042,2025-11-07,83,68
H043,2025-09-04,68,48
H044,2025-08-04,64,50
H045,2025-11-07,106,77
H046,2025-09-23,75,55
H047,2025-07-17,60,51
H048,2025-12-26,93,71
H049,2025-11-28,58,41
H050,2025-08-05,114,86
H001,2025-11-02,74,58
H002,2025-07-17,71,55
H003,2025-10-18,95,75
H004,2025-12-15,51,39
H005,2025-11-28,71,54
H006,2025-09-05,117,89
H007,2025-12-29,52,42
H008,2025-12-24,93,67
H009,2025-10-31,53,37
H010,2025-12-14,78,63
H011,2025-11-05,59,46
H012,2025-07-23,58,46
H013,2025-07-16,69,49
H014,2025-11-17,41,35
H015,2025-08-30,75,56
H016,2025-08-22,57,48
H017,2025-11-05,106,81
H018,2025-08-01,42,36
H019,2025-12-13,110,89
H020,2025-08-17,88,72
H021,2025-12-19,94,73
H022,2025-12-26,48,38
H023,2025-12-17,105,79
H024,2025-12-30,74,51
H025,2025-10-01,112,80
H026,2025-09-06,108,77
H027,2025-11-15,112,85
H028,2025-07-15,72,58
H029,2025-08-06,70,58
H030,2025-08-19,68,57
H031,2025-12-08,104,83
H032,2025-09-07,115,86
H033,2025-07-15,95,67
H034,2025-08-12,100,73
H035,2025-12-30,84,63
H036,2025-09-26,43,37
H037,2025-07-01,67,54
H038,2025-12-09,99,74
H039,2025-12-12,105,85
H040,2025-09-17,40,26
H041,2025-07-01,86,61
H042,2025-08-31,83,60
H043,2025-11-01,68,53
H044,2025-09-09,64,50
H045,2025-10-21,106,86
H046,2025-11-07,75,52
H047,2025-08-09,60,49
H048,2025-10-03,93,69
H049,2025-10-23,58,42
H050,2025-11-30,114,87
H001,2025-07-30,74,54
H002,2025-10-06,71,55
H003,2025-10-06,95,76
H004,2025-09-06,51,35
H005,2025-10-19,71,55
H006,2025-10-14,117,84
H007,2025-09-27,52,44
H008,2025-10-25,93,70
H009,2025-08-13,53,35
H010,2025-12-16,78,61
H011,2025-11-26,59,49
H012,2025-07-30,58,41
H013,2025-10-24,69,48
H014,2025-09-09,41,35
H015,2025-11-09,75,54
H016,2025-10-25,57,42
H017,2025-12-22,106,78
H018,2025-09-11,42,32
H019,2025-09-11,110,88
H020,2025-11-19,88,72
H021,2025-11-26,94,68
H022,2025-07-15,48,41
H023,2025-11-27,105,85
H024,2025-07-24,74,57
H025,2025-08-14,112,85
H026,2025-12-14,108,79
H027,2025-10-27,112,83
H028,2025-08-12,72,59
H029,2025-10-09,70,56
H030,2025-08-30,68,52
H031,2025-07-08,104,77
H032,2025-08-27,115,90
H033,2025-10-23,95,73
H034,2025-12-14,100,73
H035,2025-07-02,84,60
H036,2025-08-26,43,28
H037,2025-09-15,67,54
H038,2025-09-09,99,73
H039,2025-07-16,105,82
H040,2025-07-23,40,28
H041,2025-08-22,86,68
H042,2025-07-29,83,58
H043,2025-12-04,68,52
H044,2025-10-29,64,45
H045,2025-11-09,106,85
H046,2025-07-30,75,53
H047,2025-12-23,60,46
H048,2025-08-26,93,69
H049,2025-12-07,58,46
H050,2025-08-01,114,90
H001,2025-10-09,74,57
H002,2025-08-03,71,53
H003,2025-08-25,95,74
H004,2025-08-22,51,38
H005,2025-11-19,71,52
H006,2025-11-05,117,90
H007,2025-10-07,52,40
H008,2025-08-02,93,76
H009,2025-10-29,53,45
H010,2025-10-14,78,57
H011,2025-07-01,59,40
H012,2025-08-15,58,39
H013,2025-10-25,69,47
H014,2025-07-03,41,33
H015,2025-08-15,75,59
H016,2025-08-11,57,46
H017,2025-09-02,106,76
H018,2025-09-25,42,36
H019,2025-07-07,110,88
H020,2025-12-15,88,71
H021,2025-09-29,94,72
H022,2025-09-29,48,39
H023,2025-07-01,105,76
H024,2025-10-24,74,51
H025,2025-09-20,112,83
H026,2025-07-13,108,83
H027,2025-09-12,112,89
H028,2025-10-21,72,53
H029,2025-10-14,70,56
H030,2025-07-22,68,55
H031,2025-07-17,104,84
H032,2025-12-26,115,89
H033,2025-08-10,95,70
H034,2025-11-15,100,73
H035,2025-07-28,84,65
H036,2025-07-10,43,33
H037,2025-11-10,67,53
H038,2025-12-07,99,70
H039,2025-12-25,105,82
H040,2025-11-03,40,30
H041,2025-10-29,86,70
H042,2025-12-15,83,65
H043,2025-12-20,68,54
H044,2025-10-15,64,50
H045,2025-07-02,106,84
H046,2025-11-17,75,54
H047,2025-11-19,60,44
H048,2025-08-23,93,74
H049,2025-07-29,58,41
H050,2025-11-03,114,88
H001,2025-11-06,74,60
H002,2025-07-27,71,56
H003,2025-08-01,95,73
H004,2025-11-06,51,35
H005,2025-07-02,71,52
H006,2025-09-26,117,93
H007,2025-08-19,52,42
H008,2025-09-21,93,67
H009,2025-11-13,53,38
H010,2025-12-19,78,60
H011,2025-08-14,59,40
H012,2025-08-31,58,49
H013,2025-11-01,69,54
H014,2025-12-05,41,32
H015,2025-12-24,75,52
H016,2025-08-17,57,39
H017,2025-08-07,106,81
H018,2025-09-22,42,33
H019,2025-10-22,110,80
H020,2025-09-16,88,65
H021,2025-09-30,94,73
H022,2025-10-04,48,40
H023,2025-09-20,105,75
H024,2025-11-25,74,58
H025,2025-11-02,112,85
H026,2025-07-24,108,83
H027,2025-07-08,112,82
H028,2025-09-17,72,51
H029,2025-11-21,70,50
H030,2025-07-20,68,47
H031,2025-11-08,104,74
H032,2025-07-21,115,86
H033,2025-09-03,95,77
H034,2025-07-05,100,73
H035,2025-10-19,84,61
H036,2025-10-25,43,37
H037,2025-11-28,67,52
H038,2025-11-25,99,74
H039,2025-07-25,105,78
H040,2025-09-13,40,26
H041,2025-12-21,86,62
H042,2025-09-17,83,64
H043,2025-09-13,68,56
H044,2025-07-23,64,44
H045,2025-08-25,106,80
H046,2025-10-09,75,58
H047,2025-12-08,60,46
H048,2025-07-29,93,73
H049,2025-07-20,58,48
H050,2025-11-16,114,91
H001,2025-07-03,74,52
H002,2025-12-16,71,58
H003,2025-09-18,95,76
H004,2025-07-12,51,41
H005,2025-09-26,71,57
H006,2025-08-20,117,94
H007,2025-11-10,52,43
H008,2025-07-20,93,69
H009,2025-08-27,53,37
H010,2025-12-12,78,55
H011,2025-11-03,59,49
H012,2025-11-13,58,46
H013,2025-12-19,69,54
H014,2025-11-02,41,26
H015,2025-07-22,75,60
H016,2025-09-17,57,41
H017,2025-10-28,106,76
H018,2025-07-30,42,37
H019,2025-09-19,110,83
H020,2025-09-24,88,69
H021,2025-07-24,94,73
H022,2025-08-10,48,33
H023,2025-12-22,105,82
H024,2025-07-17,74,52
H025,2025-11-01,112,90
H026,2025-07-21,108,83
H027,2025-09-02,112,86
H028,2025-11-15,72,51
H029,2025-08-19,70,57
H030,2025-07-19,68,57
H031,2025-08-23,104,78
H032,2025-07-30,115,92
H033,2025-07-15,95,76
H034,2025-09-11,100,73
H035,2025-11-17,84,60
H036,2025-10-09,43,28
H037,2025-09-05,67,54
H038,2025-12-23,99,76
H039,2025-11-30,105,84
H040,2025-11-04,40,31
H041,2025-11-26,86,68
H042,2025-07-22,83,64
H043,2025-11-01,68,54
H044,2025-07-11,64,44
H045,2025-08-13,106,85
H046,2025-08-07,75,55
H047,2025-11-08,60,47
H048,2025-12-19,93,66
H049,2025-11-19,58,47
H050,2025-08-06,114,83
H001,2025-08-28,74,54
H002,2025-12-07,71,59
H003,2025-11-16,95,76
H004,2025-11-27,51,44
H005,2025-11-23,71,56
H006,2025-11-03,117,89
H007,2025-11-21,52,38
H008,2025-11-09,93,75
H009,2025-09-11,53,35
H010,2025-11-05,78,57
H011,2025-09-10,59,42
H012,2025-11-15,58,47
H013,2025-08-05,69,55
H014,2025-09-12,41,33
H015,2025-10-09,75,54
H016,2025-07-26,57,42
H017,2025-08-31,106,77
H018,2025-10-28,42,33
H019,2025-11-23,110,81
H020,2025-11-13,88,63
H021,2025-08-17,94,70
H022,2025-07-06,48,38
H023,2025-07-30,105,79
H024,2025-10-13,74,51
H025,2025-08-14,112,80
H026,2025-12-08,108,84
H027,2025-10-11,112,90
H028,2025-09-16,72,60
H029,2025-09-11,70,48
H030,2025-10-02,68,51
H031,2025-10-06,104,77
H032,2025-08-23,115,88
H033,2025-11-24,95,75
H034,2025-07-01,100,79
H035,2025-07-28,84,62
H036,2025-12-11,43,32
H037,2025-07-02,67,56
H038,2025-10-25,99,74
H039,2025-08-11,105,80
H040,2025-09-17,40,35
H041,2025-07-01,86,62
H042,2025-09-02,83,68
H043,2025-10-06,68,56
H044,2025-08-24,64,48
H045,2025-09-18,106,84
H046,2025-08-16,75,57
H047,2025-09-06,60,50
H048,2025-07-11,93,71
H049,2025-12-27,58,42
H050,2025-08-26,114,84
H001,2025-12-06,74,52
H002,2025-10-29,71,54
H003,2025-12-25,95,67
H004,2025-12-25,51,42
H005,2025-07-03,71,55
H006,2025-08-02,117,88
H007,2025-10-16,52,37
H008,2025-09-10,93,66
H009,2025-08-28,53,37
H010,2025-10-20,78,58
H011,2025-07-14,59,48
H012,2025-10-06,58,49
H013,2025-07-10,69,51
H014,2025-07-04,41,27
H015,2025-08-25,75,52
H016,2025-07-15,57,44
H017,2025-11-08,106,80
H018,2025-09-20,42,34
H019,2025-07-01,110,80
H020,2025-08-04,88,62
H021,2025-09-04,94,76
H022,2025-08-24,48,36
H023,2025-11-16,105,77
H024,2025-10-21,74,52
H025,2025-10-25,112,88
H026,2025-08-03,108,85
H027,2025-09-29,112,83
H028,2025-08-31,72,54
H029,2025-10-12,70,54
H030,2025-10-21,68,57
H031,2025-09-27,104,84
H032,2025-07-02,115,90
H033,2025-12-22,95,68
H034,2025-10-05,100,73
H035,2025-10-10,84,63
H036,2025-09-21,43,28
H037,2025-10-12,67,48
H038,2025-07-13,99,75
H039,2025-10-26,105,79
H040,2025-11-04,40,26
H041,2025-11-05,86,61
H042,2025-12-30,83,62
H043,2025-09-18,68,56
H044,2025-09-09,64,49
H045,2025-10-14,106,82
H046,2025-07-21,75,53
